Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
HAVELLS,502.15,526.3,498.6,498.6,64.00971016,402.21
HBLPOWER,46.45,47.5,45.15,45.15,1.491949741,399.91
HBSTOCK,26.9,27.5,25.5,25.5,0.034327281,402.03
HCC,43.5,45.1,43.7,43.7,24.9689721,399.07
HCG,258.4,264.95,254.05,254.05,2.365282415,400.09
HCL-INSYS,55.7,56.25,55.1,55.1,14.692282,397.41
HCLTECH,843.6,858.8,835.6,835.6,124.1649893,402.42
HDFC,1572,1581,1566.1,1566.1,295.5471565,403
HDFCBANK,1551.8,1560,1546.4,1546.4,407.1637736,407.56
HDIL,95.5,97.8,94.6,94.6,80.919634,401.76
HEG,295.85,123,123,123,1.028518138,405.03
HEIDELBERG,133.9,141.4,134.3,134.3,2.882294889,396.18
HERCULES,163.05,165,162.5,162.5,3.911489423,398.1
HERITGFOOD,1157.9,1168.95,1146.1,1146.1,3.752430344,400
HEROMOTOCO,3323.85,3432.75,3295.15,3295.15,117.8212576,401.35
HESTERBIO,879.65,123,123,123,0.225894171,421.76
HEXATRADEX,21.65,123,123,123,0.082668949,421.74
HEXAWARE,249.05,256.3,248.05,248.05,24.86434815,416.83
HFCL,15.3,15.85,15.2,15.2,2.622924296,404.98
HGS,548.4,552,544.9,544.9,1.136346988,407.34
HIGHGROUND,22.6,123,123,123,1.294210573,392.57
HIKAL,220.7,228.5,218.7,218.7,1.331348676,379.09
HIL,839.2,854,842.2,842.2,0.995343034,375.78
HILTON,26.1,123,123,123,0.073191613,373.33
HIMATSEIDE,340.6,345,339.9,339.9,6.896976135,367.86
HINDALCO,187.1,195.8,192.05,192.05,222.1698439,374.57
HINDCOMPOS,1954.9,1970.45,1939.95,1939.95,0.107463298,380.37
HINDCOPPER,63.9,64.6,63.65,63.65,11.14803533,387.12
HINDDORROL,8.45,123,123,123,0.104259014,401.92
HINDMOTORS,10.05,123,123,123,1.214275918,400.19
HINDNATGLS,102.3,123,123,123,0.074060127,408.73
HINDOILEXP,78.9,80.55,78.8,78.8,7.702471739,399.86
HINDPETRO,529.2,533.9,523.55,523.55,161.3673263,400.28
HINDSYNTEX,10.65,123,123,123,0.003400836,401.03
HINDUJAFO,33.9,123,123,123,0.041026426,419.64
HINDUJAVEN,520.3,123,123,123,0.131590114,415.25
HINDUNILVR,996.35,996,980.2,980.2,87.64625296,397
HINDZINC,254.7,261.8,254.5,254.5,65.26915938,395.54
HIRECT,92.2,123,123,123,0.088224466,391.43
HISARMETAL,43.55,123,123,123,0.066766809,387.02
HITECHGEAR,338.6,338.85,331.5,331.5,0.243303963,382.14
HITECHPLAS,215.95,219,213.5,213.5,0.295131742,373
HMVL,283.15,284.9,280.1,280.1,0.677769075,383.93
HOCL,29.7,123,123,123,0.696615301,382.4
HONAUT,11421.1,123,123,123,0.923547553,385.56
HONDAPOWER,1442.95,1452.45,1424.45,1424.45,0.539933777,367.37
HOTELEELA,24.85,123,123,123,0.321976988,374.74
HOTELRUGBY,4.2,123,123,123,0.001505352,385.82
HOVS,211.25,223,207.35,207.35,6.032010628,390.57
HPL,134.15,123,123,123,123,388.25
HSCL,62.4,63.3,60.2,60.2,3.255550641,388.18
HSIL,346.3,350,344.1,344.1,2.355400255,371.17
HTMEDIA,84.45,85.75,83.8,83.8,1.740316091,365.08
HUBTOWN,162.8,123,123,123,0.063052933,373.47
IBREALEST,167.2,170.25,163.6,163.6,61.01620337,360.3
IBULHSGFIN,1082.9,1091.25,1057.75,1057.75,140.6261739,364.51
IBVENTURES,136.3,143.1,132.65,132.65,5.532302398,362.17
ICICIBANK,298.65,302.5,299.55,299.55,430.4477737,370.84
ICICIPRULI,410.8,418,405.1,405.1,44.50790928,382.31
ICIL,203.75,206.9,203.1,203.1,10.89130247,381.52
ICRA,4197.9,4250,4171.1,4171.1,1.922990507,379.63
ICSA,2.8,123,123,123,0.020296245,378.07
IDBI,78,79.05,77.5,77.5,27.74430348,370.52
IDEA,90.7,92.3,87.75,87.75,245.4191397,371.15
IDFC,64.25,64.8,63.5,63.5,33.45872747,361.3
IDFCBANK,65.15,65.95,65,65,46.24259958,361.69
IFBAGRO,444,123,123,123,0.268089564,380.44
IFBIND,615.75,123,123,123,1.484625641,389.41
IFCI,32.55,32.7,32,32,37.48106975,390.98
IFGLREFRAC,242.85,252,239,239,0.676942972,397.65
IGARASHI,918,926.5,886.65,886.65,1.034370734,397.78
IGL,1020.35,1026.9,1011.1,1011.1,67.20514863,387.64
IGPL,415.8,420.9,411.05,411.05,2.061564997,391.62
IIFL,514.1,517.65,501,501,7.853069317,400.59
IITL,81.75,123,123,123,0.00393591,400
IL&FSENGG,54.45,56,54.45,54.45,1.070127877,390.35
IL&FSTRANS,116.25,124.5,115.25,115.25,5.752373161,388.32
IMFA,554.05,567.95,545,545,4.187403282,386.95
IMPAL,822.15,123,123,123,0.03284485,396.12
INDBANK,19.55,19.9,18.9,18.9,0.080366355,378
INDHOTEL,132.5,134.5,132,132,9.514695632,365.43
INDIACEM,214.25,216.9,211.9,211.9,54.91279326,361.17
INDIAGLYCO,184,185.45,178.55,178.55,4.667089938,361.01
INDIANB,353.15,359.9,352.3,352.3,11.05010299,358.33
INDIANCARD,200.2,123,123,123,0.053882385,353.53
INDIANHUME,406.35,422.9,405.3,405.3,0.633035161,356.34
